# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, alternate_names, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
GJ 1214 b,0.0203253311519,0.00311487273070509,0.00311487273070509,0.238201870286,1.07057020353324,1.07057020353324,1.58040482,1.8e-07,1.8e-07,0.01411,0.00032,0.00032,0.27,0.27,0.0,0.001077,88.17,0.54,0.54,2455391.65402,2.8e-05,2.8e-05,,,,,,,,,,,,,,1,2009,2014-05-21,,,,,,,detected by transit,,,GJ 1214,258.8291667,4.9638889,14.71,,,,,13.0,0.39,0.15,0.216,M,6.0,3026.0
GJ 160.2 b,0.0320926281345,0.0135292451939716,0.0547462479942107,,,,5.2354,5.2289,5.2381,0.053,0.007,0.004,0.06,0.06,0.2,,,,,,,,,,,,,,,,,,,,,1,2014,2014-05-21,6.2,,,,,,detected by radial velocity,,,GJ 160.2,61.6451723449,-19.1468780083,9.675,,,,,,,0.69,,M0V,,4347.0
GJ 176 b,0.0265,,,,,,8.7836,0.0054,0.0054,0.066,,,0.0,0.0,0.0,0.007006,,,,,,,,,,,,,2454399.79,0.33,0.33,,,,,2,2007,2010-12-17,,,,,,,detected by radial velocity,,,GJ 176,70.7333333,18.9580556,9.97,,6.462,5.824,5.607,9.42,-0.1,0.49,0.53,M2.5V,,
GJ 180 b,0.0261145895605,0.00943900827486392,0.0371267658811314,,,,17.38,17.36,17.398,0.103,0.014,0.006,0.11,0.11,0.14,,,,,,,,,,,,,,,,,,,,,1,2014,2014-05-21,0.2,,,,,,detected by radial velocity,,,GJ 180,73.4582490167,-16.2265848682,10.894,,,,,,,0.43,,M2V,,3371.0
GJ 180 c,0.0201365509864,0.00723657301072901,0.0317779945253752,,,,24.329,24.263,24.381,0.129,0.017,0.007,0.09,0.09,0.2,,,,,,,,,,,,,,,,,,,,,1,2014,2014-05-21,4.1,,,,,,detected by radial velocity,,,GJ 180,73.4582490167,-16.2265848682,10.894,,,,,,,0.43,,M2V,,3371.0
GJ 221  BD-061339 d,0.091243746657,0.0566340496491835,0.0629267218324261,,,,500.0,32.0,26.0,1.06,0.07,0.07,0.04,0.04,0.25,,,,,,,,,,,,,,,,,,,,,1,2014,2014-05-21,275.0,85.0,275.0,,,,detected by radial velocity,,,BD-061339,88.25,-5.9947,6.69,,,,,20.0,-0.14,0.7,,K7V/M0V,4.4,4324.0
GJ 229 b,0.100682754932,0.0503413774659409,0.154170468489444,,,,471.0,459.0,493.0,0.97,0.09,0.12,0.1,0.1,0.22,,,,,,,,,,,,,,,,,,,,,1,2014,2014-05-21,2.6,,,,,,detected by radial velocity,,,GJ 229,92.6442305532,-20.1353578324,8.125,,,,,,,0.58,,M1/M2V,,3564.0
GJ 27.1 b,0.0409023691911,0.0201365509863764,0.0538023471667244,,,,15.819,15.793,15.842,0.101,0.013,0.009,0.08,0.08,0.16,,,,,,,,,,,,,,,,,,,,,1,2014,2014-05-21,2.7,,,,,,detected by radial velocity,,,GJ 27.1,9.99510797794,-43.7467781869,11.401,,,,,,,0.53,,M0.5V,,3542.0
GJ 3021 b,3.37,0.09,0.09,,,,133.71,0.2,0.2,0.49,,,0.511,0.017,0.017,0.027809,,,,,,,,,,,,,,,,,,,,1,2000,2009-10-07,290.7,3.0,3.0,51545.86,0.64,0.64,detected by radial velocity,,,GJ 3021,4.05,-79.8511111,6.59,,,,,17.62,0.1,0.9,0.9,G6 V,8.77,5540.0
GJ 317 b,1.8,0.05,0.05,,,,691.78,4.7,4.7,1.15,0.05,0.05,0.11,0.05,0.05,0.076159,45.0,10.0,10.0,,,,,,,,,,,,,,,,,2,2007,2011-11-14,342.0,10.0,10.0,2451656.7,35.0,35.0,detected by radial velocity,,,GJ 317,130.2458333,-23.4563889,12.0,,6.41,5.9,5.59,15.1,0.36,0.42,,M3.5,,3510.0
GJ 317 c,2.0,0.0,0.0,,,,10000.0,nan,inf,30.0,10.0,10.0,0.81,,,1.986755,,,,,,,,,,,,,,,,,,,,1,2007,2011-11-14,210.0,,,,,,detected by radial velocity,,,GJ 317,130.2458333,-23.4563889,12.0,,6.41,5.9,5.59,15.1,0.36,0.42,,M3.5,,3510.0
GJ 328 b,2.3,13.0,13.0,,,,4100.0,300.0,300.0,4.5,0.2,0.2,0.37,0.05,0.05,,,,,,,,,,,,,,,,,,,,,1,2013,2013-07-30,,,,4500.0,100.0,100.0,detected by radial velocity,,,GJ 328,133.7833,1.54901111,9.98,,,,,19.8,0.0,0.69,,K7,,3900.0
GJ 3470 b,0.0437340716735362,0.00512852782934273,0.00512852782934273,0.373807429400356,0.0526363683403842,0.0526363683403842,3.33671,5e-05,5e-05,0.03557,0.001,0.001,,,,,88.3,0.5,0.5,2456090.4769,0.00015,0.00015,,,,,,,,,,,,,,1,2012,2013-11-05,,,,,,,detected by transit,,,GJ 3470,119.775,15.3916667,12.27,,,,,30.7,0.2,0.539,0.568,M1.5,1.0,3600.0
GJ 3634 b,0.022,0.0035,0.0035,,,,2.64561,0.00066,0.00066,0.0287,0.0011,0.0011,0.08,0.057,0.057,0.001449,59.0,24.0,24.0,,,,,,,,,,,,,,,,,1,2011,2012-09-10,84.0,130.0,130.0,2454917.04,0.53,0.53,detected by radial velocity,,,GJ 3634,164.6458333,-31.1441667,11.95,,,,,19.8,,0.45,0.43,M2.5,,
GJ 422 b,0.0311487273071,0.0185633829405657,0.0487682094201303,,,,26.161,26.063,26.243,0.119,0.011,0.014,0.05,0.05,0.21,,,,,,,,,,,,,,,,,,,,,1,2014,2014-05-21,4.3,,,,,,detected by radial velocity,,,GJ 422,169.000856292,-56.4523336445,11.516,,,,,,,0.35,,M3.5V,,3323.0
GJ 433 b,0.0182,,,,,,7.3709,0.0008,0.0008,0.058,,,0.08,0.08,0.08,0.006416,,,,,,,,,,,,,,,,,,,,3,2009,2014-03-05,-156.0,54.0,54.0,2454287.0,1.0,1.0,detected by radial velocity,,,GJ 433,173.8625,-32.54,9.79,,,,,9.04,-0.22,0.48,,M1.5,,3600.0
GJ 433 c,0.14,,,,,,3693.0,253.0,253.0,3.6,,,0.17,0.09,0.09,0.39823,,,,,,,,,,,,,,,,,,,,2,2012,2014-03-05,-154.0,36.0,36.0,2456740.0,462.0,462.0,detected by radial velocity,,,GJ 433,173.8625,-32.54,9.79,,,,,9.04,-0.22,0.48,,M1.5,,3600.0
GJ 436 b,0.0737,0.0052,0.0052,0.365,0.02,0.02,2.6438986,1.6e-06,1.6e-06,0.02887,0.00095,0.00095,0.15,0.012,0.012,0.00283,85.8,0.25,0.25,2454222.61588,0.00012,0.00012,,,,,,,,,,,,,,1,2004,2014-03-28,351.0,1.2,1.2,1551.716,0.12,0.12,detected by transit,,"CO2, CO, H2O, H",GJ 436,175.5458333,26.7063889,10.68,,,,,10.2,-0.32,0.452,0.464,M2.5,6.0,3684.0
GJ 504 b,4.0,4.5,1.0,,,,,,,43.5,,,,,,,,,,,,,,,,,,,,,,,600.0,,,1,2013,2013-10-17,,,,,,,detected by imaging,,CH4,GJ 504,199.1958,9.4242,5.22,,,,,17.56,0.28,1.22,,GOV,0.16,6234.0
GJ 667C b,0.01718,,,,,,7.199,0.001,0.001,0.0504,,,0.09,0.05,0.05,0.007368,,,,,,,,,,,,,,,,,,,,2,2009,2012-12-18,-4.0,33.0,33.0,2454443.1,0.6,0.6,detected by radial velocity,,,GJ 667C,259.7375,-34.9897222,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2.0,3600.0
GJ 667C c,0.0134,,,,,,28.13,0.03,0.03,0.1251,,,0.34,0.1,0.1,0.018289,,,,,,,,,,,,,,,,,,,,2,2011,2013-09-14,166.0,20.0,20.0,2454462.0,1.0,1.0,detected by radial velocity,,,GJ 667C,259.7375,-34.9897222,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2.0,3600.0
GJ 667C d,0.0218,,,,,,106.4,0.1,0.1,0.3035,,,0.68,0.06,0.06,0.044371,,,,,,,,,,,,,,,,,,,,1,2012,2013-06-25,7.0,8.0,8.0,2454499.0,1.0,1.0,detected by radial velocity,,,GJ 667C,259.7375,-34.9897222,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2.0,3600.0
GJ 667C e,0.0085,0.005,0.0044,,,,62.24,0.55,0.75,0.213,0.02,0.02,0.02,0.02,0.22,,,,,,,,,,,,,,,,,,,,,1,2013,2014-05-21,29.0,360.0,360.0,,,,detected by radial velocity,,,GJ 667C,259.7375,-34.9897222,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2.0,3600.0
GJ 667C f,0.0085,0.0044,0.0038,,,,39.026,0.2,0.2,0.156,0.017,0.014,0.03,0.03,0.16,,,,,,,,,,,,,,,,,,,,,1,2013,2014-05-21,103.0,360.0,360.0,,,,detected by radial velocity,,,GJ 667C,259.7375,-34.9897222,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2.0,3600.0
GJ 667C g,0.0145,0.008,0.0072,,,,256.2,14.0,18.0,0.549,0.05,0.05,0.08,0.08,0.41,,,,,,,,,,,,,,,,,,,,,1,2013,2014-05-21,52.0,360.0,360.0,,,,detected by radial velocity,,,GJ 667C,259.7375,-34.9897222,10.22,,,,,6.84,-0.55,0.33,,M1.5V,2.0,3600.0
GJ 674 b,0.037,,,,,,4.6938,0.007,0.007,0.039,,,0.2,0.02,0.02,0.00859,,,,,,,,,,,,,,,,,,,,2,2007,2007-04-25,143.0,6.0,6.0,2453780.085,0.078,0.078,detected by radial velocity,,,GJ 674,262.1666667,-46.8952778,9.38,,,,,4.54,-0.28,0.35,,M2.5,0.55,3600.0
GJ 676A b,4.95,0.31,0.31,,,,1050.3,1.2,1.2,1.8,0.07,0.07,0.328,0.004,0.004,0.109422,,,,,,,,,,,,,,,,,,,,2,2009,2013-05-06,86.9,0.69,0.69,2455411.9,3.0,3.0,detected by radial velocity,,,GJ 676A,262.5458333,-51.6369444,9.59,,,,,16.45,0.23,0.71,,M0V,,
GJ 676A c,3.0,,,,,,4400.0,,,5.2,,,0.2,,,,,,,,,,,,,,,,,,,,,,,1,2012,2013-05-15,356.0,,,,,,detected by radial velocity,,,GJ 676A,262.5458333,-51.6369444,9.59,,,,,16.45,0.23,0.71,,M0V,,
GJ 676A d,0.014,0.002,0.002,,,,3.6,0.0008,0.0008,0.0413,0.0014,0.0014,0.15,0.09,0.09,,,,,,,,,,,,,,,,,,,,,1,2012,2013-05-15,315.0,109.0,109.0,,,,detected by radial velocity,,,GJ 676A,262.5458333,-51.6369444,9.59,,,,,16.45,0.23,0.71,,M0V,,
GJ 676A e,0.036,0.005,0.005,,,,35.37,0.07,0.07,0.187,0.007,0.007,0.24,0.12,0.12,,,,,,,,,,,,,,,,,,,,,1,2012,2013-05-15,332.0,126.0,126.0,,,,detected by radial velocity,,,GJ 676A,262.5458333,-51.6369444,9.59,,,,,16.45,0.23,0.71,,M0V,,
GJ 682 b,0.0138438788031,0.00629267218324261,0.0254853223421326,,,,17.478,17.438,17.54,0.08,0.004,0.014,0.08,0.08,0.19,,,,,,,,,,,,,,,,,,,,,1,2014,2014-05-21,1.5,,,,,,detected by radial velocity,,,GJ 682,264.265260085,-43.6807861861,,,,,,,,0.27,,M3.5V,,3028.0
GJ 682 c,0.0273731239971,0.0128999779756474,0.045621873328509,,,,57.32,56.84,57.77,0.176,0.009,0.03,0.1,0.1,0.19,,,,,,,,,,,,,,,,,,,,,1,2014,2014-05-21,5.6,,,,,,detected by radial velocity,,,GJ 682,264.265260085,-43.6807861861,,,,,,,,0.27,,M3.5V,,3028.0
GJ 832 b,0.64,0.06,0.06,,,,3416.0,131.0,131.0,3.4,0.4,0.4,0.12,0.11,0.11,0.688259,,,,,,,,,,,,,,,,,,,,2,2008,2010-11-13,304.0,38.0,38.0,1211.0,353.0,353.0,detected by radial velocity,,,GJ 832,323.3916667,-49.0088889,8.67,,,,,4.94,-0.31,0.45,,,,
GJ 849 b,0.9,0.05,0.05,,,,1914.0,26.0,26.0,2.35,,,0.012,,,0.267045,,,,,,,,,,,,,,,,,,,,2,2006,2013-07-25,351.0,60.0,60.0,11462.0,550.0,550.0,detected by radial velocity,,,GJ 849,332.4167,-4.6408,10.37,,,,,9.1,0.22,0.49,0.52,M3.5V,,
GJ 849 c,0.77,,,,,,7049.0,6246.0,2155.0,,,,0.218,,,,,,,,,,,,,,,,,,,,,,,2,2013,2013-07-25,,,,,,,detected by radial velocity,,,GJ 849,332.4167,-4.6408,10.37,,,,,9.1,0.22,0.49,0.52,M3.5V,,
GQ Lup b,21.5,20.5,20.5,1.8,,,,,,103.0,37.0,37.0,,,,0.735714,,,,,,,,,,,,,,,,,,,,1,2005,2010-12-06,,,,,,,detected by imaging,,,GQ Lup,237.3,-35.6508333,11.4,,,,,140.0,,0.7,,K7eV,0.001,
GSC 6214-210 b,17.0,3.0,3.0,,,,,,,320.0,0.0,0.0,,,,2.206897,,,,,,,,,,,,,,,,,,,,1,2010,2014-01-31,,,,,,,detected by imaging,,,GSC 6214-210,245.4791667,-20.7186111,,,,,9.15,145.0,,0.6,,M1,0.011,
GU Psc b,11.0,2.0,2.0,,,,,,,2000.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,1050.0,,,1,2014,2014-04-29,,,,,,,detected by imaging,,,GU Psc,18.145833345,17.065555569,13.55,,,,,48.0,,0.35,,M3,0.1,
Gj 163 b,0.0334,0.0019,0.0019,,,,8.633,0.00155,0.00155,0.06069,0.0001,0.0001,0.0106,0.05,0.05,,,,,,,,,,,,,,,,,,,,,1,2012,2013-06-10,74.73,15.7,15.7,,,,detected by radial velocity,,,Gl 163,62.3167,-53.3736,11.8,,,,,15.0,,0.4,,M3.5,3.0,
Gj 163 c,0.02285,0.0028,0.0028,,,,25.645,0.0235,0.0235,0.1254,0.0001,0.0001,0.094,86.0,86.0,,,,,,,,,,,,,,,,,,,,,1,2012,2013-06-10,235.4,80.0,80.0,,,,detected by radial velocity,,,Gl 163,62.3167,-53.3736,11.8,,,,,15.0,,0.4,,M3.5,3.0,
Gj 163 d,0.06945,0.0092,0.0092,,,,600.895,7.56,7.56,1.02689,0.0086,0.0086,0.399,0.077,0.077,,,,,,,,,,,,,,,,,,,,,1,2013,2013-06-06,126.915,20.5,20.5,,,,detected by radial velocity,,,Gl 163,62.3167,-53.3736,11.8,,,,,15.0,,0.4,,M3.5,3.0,
Gl 179 b,0.82,0.07,0.07,,,,2288.0,59.0,59.0,2.41,0.04,0.04,0.21,0.08,0.08,0.195935,,,,,,,,,,,,,,,,,,,,1,2010,2013-07-23,153.0,24.0,24.0,25140.0,104.0,104.0,detected by radial velocity,,,Gl 179,73.025,6.4766667,11.96,,,,,12.3,0.3,0.357,0.38,M3.5,,3370.0
Gl 581 b,0.05,,,,,,5.36865,9e-05,9e-05,0.041,,,0.031,0.014,0.014,0.006602,,,,,,,,,,,,,,,,,,,,2,2005,2014-04-18,251.0,26.0,26.0,55753.95,0.39,0.39,detected by radial velocity,,,Gl 581,229.8583333,-7.7222222,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8.0,3498.0
Gl 581 c,0.017,,,,,,12.9182,0.0022,0.0022,0.073,,,0.07,0.06,0.06,0.011755,,,,,,,,,,,,,,,,,,,,1,2007,2014-04-18,235.0,44.0,44.0,54763.0,1.6,1.6,detected by radial velocity,,,Gl 581,229.8583333,-7.7222222,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8.0,3498.0
Gl 581 d,0.019,,,,,,66.64,0.08,0.08,0.22,,,0.205,0.08,0.08,0.035427,,,,,,,,,,,,,,,,,,,,1,2007,2014-04-18,2.0,23.0,23.0,245141.6407,4.19,4.19,detected by radial velocity,,,Gl 581,229.8583333,-7.7222222,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8.0,3498.0
Gl 581 e,0.0061,,,,,,3.14945,0.00017,0.00017,0.028,,,0.32,0.09,0.09,0.004509,,,,,,,,,,,,,,,,,,,,2,2009,2014-04-18,236.0,17.0,17.0,54750.31,0.13,0.13,detected by radial velocity,,,Gl 581,229.8583333,-7.7222222,10.55,,,,,6.21,-0.135,0.31,0.3,M2.5V,8.0,3498.0
Gl 649 b,0.328,0.032,0.032,,,,598.3,4.2,4.2,1.135,0.035,0.035,0.3,0.08,0.08,0.109768,,,,,,,,,,,,,,,,,,,,1,2009,2013-07-04,352.0,15.0,15.0,12876.0,22.0,22.0,detected by radial velocity,,,Gl 649,254.5375,25.7441667,9.7,,,,,10.34,0.08,0.54,,M1.5,,3700.0
Gl 649 c,0.03,0.008,0.008,,,,4.4762,0.0004,0.0004,0.043,0.001,0.001,0.2,0.15,0.15,,,,,,,,,,,,,,,,,,,,,1,2013,2013-07-04,334.0,47.0,47.0,,,,detected by radial velocity,,,Gl 649,254.5375,25.7441667,9.7,,,,,10.34,0.08,0.54,,M1.5,,3700.0
Gl 687 b,0.058,0.007,0.007,,,,38.14,0.015,0.015,0.16353,4.3e-05,4.3e-05,0.04,0.08,0.08,,,,,,,,,,,,,,,,,,,,,1,2014,2014-05-14,359.3,121.0,121.0,2450603.97,,,detected by radial velocity,,,Gl 687,264.108333342,68.339166678,9.15,,,,,4.5,,0.413,0.4183,M3.5V,,3413.0
Gl 785 b,0.053,0.0028,0.0028,,,,74.72,0.1,0.1,0.32,0.005,0.005,0.13,0.04,0.04,0.035911,,,,,,,,,,,,,,,,,,,,2,2010,2011-09-03,173.0,20.0,20.0,2455151.02574596,,,detected by radial velocity,,,Gl 785,303.8208333,-27.0330556,6.13,,,,,8.911,0.08,0.78,0.68,K1V,,5144.0
Gl 86 b,4.01,,,,,,15.766,0.04,0.04,0.11,,,0.046,0.004,0.004,0.010092,,,,,,,,,,,,,,,,,,,,1,2000,2012-11-21,266.0,,,1146.54,0.2,0.2,detected by radial velocity,,,Gl 86,32.6080593836,-50.8237272164,6.17,,,,,10.9,-0.24,0.8,0.855,K1V,2.03,5350.0
Gliese 876 b,1.927,0.003,0.003,,,,61.03,3.81,3.81,0.208317,2e-05,2e-05,0.0,0.001,0.001,0.044323,84.0,6.0,6.0,,,,,,,,,,,,,,,,,1,2000,2014-04-01,116.7,1.1,1.1,,,,detected by radial velocity,,,Gliese 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350.0
Gliese 876 c,0.637,0.002,0.002,,,,30.23,0.19,0.19,0.12959,2.4e-05,2.4e-05,0.002,0.001,0.001,0.027572,48.07,2.06,2.06,,,,,,,,,,,,,,,,,1,2000,2014-04-01,225.2,5.0,5.0,,,,detected by radial velocity,,,Gliese 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350.0
Gliese 876 d,0.017,0.001,0.001,,,,1.94,0.01,0.01,0.02080665,1.5e-07,1.5e-07,0.081,0.04,0.04,0.004427,50.0,,,,,,,,,,,,,,,,,,,1,2005,2014-04-01,157.4,23.0,23.0,,,,detected by radial velocity,,,Gliese 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350.0
Gliese 876 e,0.039,0.001,0.001,,,,124.69,90.04,90.04,0.3343,0.0013,0.0013,0.073,0.048,0.048,0.071128,59.5,,,,,,,,,,,,,,,,,,,1,2010,2014-04-01,360.0,15.8,15.8,,,,detected by radial velocity,,,Gliese 876,343.3041667,-14.2536111,10.17,,,,,4.7,0.05,0.334,0.36,M4 V,2.5,3350.0
HAT-P-1 b,0.525,0.019,0.019,1.319,0.019,0.019,4.46529976,5.5e-07,5.5e-07,0.05561,0.00083,0.00083,0.067,inf,nan,0.000398,85.634,0.056,0.056,2453979.93202,0.00024,0.00024,,,,,,,,,,1322.0,,,,1,2006,2013-10-04,0.0,,,,,,detected by transit,,"H2O, K",HAT-P-1,344.4458333,38.675,10.4,,,,,139.0,0.13,1.151,1.174,GOV,3.6,5980.0
HAT-P-11 b,0.0824340056004782,0.00899852122203694,0.00899852122203694,0.421983088559352,1.33821275441655,1.33821275441655,4.887804,4e-06,4e-06,0.053,0.0008,0.0008,0.198,0.046,0.046,0.001395,88.5,0.6,0.6,2454605.89132,0.00032,0.00032,,,,,,,,,,,,,,2,2009,2013-11-05,355.2,17.3,17.3,,,,detected by transit,,,HAT-P-11,297.7083333,48.0808333,9.59,,,,,38.0,0.31,0.81,0.75,K4,6.5,4780.0
HAT-P-12 b,0.210489884529,0.0131831482238933,0.0131831482238933,0.954591764817,0.0205192622343871,2.85485387608864,3.2130598,2.1e-06,2.1e-06,0.0384,0.0003,0.0003,0.0,,,0.000269,,,,2454419.19556,0.0002,0.0002,,,,,,,,,,,1000.0,,,2,2009,2014-05-21,,,,,,,detected by transit,,,HAT-P-12,209.3916667,43.4936111,12.84,,,,,142.5,-0.29,0.73,0.7,,2.5,4650.0
HAT-P-13 b,0.85,0.038,0.038,1.28,0.079,0.079,2.916243,3e-06,3e-06,0.0426,0.0012,0.0012,0.0142,0.0044,0.0044,0.000199,83.3,0.62,0.62,2455176.5388,0.00034,0.00034,,,,,,,,,,,,,,1,2009,2012-09-20,223.0,38.0,38.0,,,,detected by transit,,,HAT-P-13,129.8833333,47.3519444,10.62,,,,,214.0,0.43,1.22,1.56,G4,5.0,5638.0
HAT-P-13 c,14.5,1.0,1.0,,,,448.2,1.0,1.0,1.186,0.033,0.033,0.666,0.018,0.018,0.005542,,,,,,,,,,,,,,,,,,,,1,2009,2011-02-04,175.61,0.45,0.45,2454890.05,0.48,0.48,detected by radial velocity,,,HAT-P-13,129.8833333,47.3519444,10.62,,,,,214.0,0.43,1.22,1.56,G4,5.0,5638.0
HAT-P-14 b,2.2,0.04,0.04,1.2,0.04,0.04,4.627657,5e-06,5e-06,0.0594,0.0004,0.0004,0.095,0.011,0.011,0.00029,83.2,0.2,0.2,2455134.43856,0.00027,0.00027,,,,,,,,,,,,,,1,2010,2012-04-08,99.0,4.0,4.0,,,,detected by transit,,,HAT-P-14,260.1166667,38.2422222,9.98,,,,,205.0,0.11,1.386,1.468,F,1.3,6600.0
HAT-P-15 b,1.946,0.066,0.066,1.072,0.043,0.043,10.863502,27.0,27.0,0.0964,0.0014,0.0014,0.19,0.019,0.019,0.000507,89.1,0.2,0.2,2454638.56019,0.00048,0.00048,,,,,,,,,,,,,,1,2010,2010-05-31,262.0,1.0,1.0,,,,detected by transit,,,HAT-P-15,66.25,39.4605556,12.16,,,,,190.0,0.22,1.013,1.08,G5,6.8,5568.0
HAT-P-16 b,4.193,0.094,0.094,1.289,0.066,0.066,2.77596,3e-06,3e-06,0.0413,0.0004,0.0004,0.036,0.004,0.004,0.000176,86.6,0.7,0.7,2455027.59293,0.00031,0.00031,,,,,,,,,,,,,,1,2010,2013-07-22,214.0,8.0,8.0,,,,detected by transit,,,HAT-P-16,9.575,42.4630556,10.8,,,,,235.0,0.17,1.218,1.237,F8,2.0,6158.0
HAT-P-17 b,0.534,0.018,0.018,1.01,,,10.338523,,,0.0882,,,0.346,,,0.00098,89.2,,,2454804.246,,,,,,,,,,,,,,,,1,2010,2013-05-31,201.0,,,,,,detected by transit,,,HAT-P-17,324.5375,30.4886111,10.54,,,,,90.0,0.0,0.857,0.837,K,7.8,5246.0
HAT-P-17 c,1.4,,,,,,1798.0,,,2.75,,,0.1,,,0.030556,,,,,,,,,,,,,,,,,,,,1,2010,2010-12-10,155.0,,,2452636.0,,,detected by radial velocity,,,HAT-P-17,324.5375,30.4886111,10.54,,,,,90.0,0.0,0.857,0.837,K,7.8,5246.0
HAT-P-18 b,0.196960639335,0.0133719283893906,0.0133719283893906,0.990277438268,0.0517442265041065,0.0517442265041065,5.508023,6e-06,6e-06,0.0559,0.0007,0.0007,0.084,0.048,0.048,0.000337,88.8,0.3,0.3,2454715.02174,0.0002,0.0002,,,,132.0,15.0,15.0,,,,,,,,1,2010,2014-03-27,120.0,56.0,56.0,,,,detected by transit,,,HAT-P-18,256.35,33.0125,12.76,,,,,166.0,0.1,0.77,0.749,K,12.4,4803.0
HAT-P-19 b,0.292,0.018,0.018,1.132,0.072,0.072,4.008778,6e-06,6e-06,0.0466,0.0008,0.0008,0.067,0.042,0.042,0.000217,88.2,0.4,0.4,2455091.53417,0.00034,0.00034,,,,,,,,,,,,,,1,2010,2010-07-29,256.0,77.0,77.0,,,,detected by transit,,,HAT-P-19,9.5166667,34.7116667,12.9,,,,,215.0,0.23,0.842,0.82,K,8.8,4990.0
HAT-P-2 b,8.74,0.26,0.26,0.951,0.053,0.053,5.6334729,6.1e-06,6.1e-06,0.0674,0.00081,0.00081,0.5171,0.0033,0.0033,0.000571,90.0,0.93,0.93,2454387.49375,0.00074,0.00074,,,,,,,,,,,,,,1,2007,2012-09-20,185.22,0.95,0.95,2454213.4794,0.003,0.003,detected by transit,,,HAT-P-2,245.15,41.0480556,8.71,,,,,118.0,0.14,1.36,1.64,F8,2.7,6290.0
HAT-P-20 b,7.246,0.187,0.187,0.867,0.033,0.033,2.875317,4e-06,4e-06,0.0361,0.0005,0.0005,0.015,0.0005,0.0005,0.000516,86.8,0.2,0.2,2455080.92661,0.00021,0.00021,,,,,,,,,,,,,,1,2010,2010-12-11,317.0,130.0,130.0,,,,detected by transit,,,HAT-P-20,111.9166667,24.3363889,11.34,,,,,70.0,0.35,0.756,0.694,K7,6.7,4595.0
HAT-P-21 b,4.063,0.161,0.161,1.024,1.024,1.024,4.124461,7e-06,7e-06,0.0494,0.0007,0.0007,0.228,0.016,0.016,0.000194,87.2,0.7,0.7,2454996.41312,0.00069,0.00069,,,,,,,,,,,,,,1,2010,2010-12-11,300.0,3.0,3.0,,,,detected by transit,,,HAT-P-21,171.275,41.0280556,11.46,,,,,254.0,0.01,0.947,1.105,G3,10.2,5588.0
HAT-P-22 b,2.147,0.061,0.061,1.08,0.058,0.058,3.21222,9e-06,9e-06,0.0414,0.0005,0.0005,0.016,0.009,0.009,0.000505,86.9,0.6,0.6,2454930.22001,0.00025,0.00025,,,,,,,,,,,,,,1,2010,2010-12-11,156.0,66.0,66.0,,,,detected by transit,,,HAT-P-22,155.6833333,50.1283333,9.73,,,,,82.0,0.24,0.916,1.04,G5,12.4,5302.0
HAT-P-23 b,2.09,0.11,0.11,1.368,0.09,0.09,1.212884,2e-05,2e-05,0.0232,0.0002,0.0002,0.106,0.044,0.044,5.9e-05,85.1,1.5,1.5,2454852.26464,0.00018,0.00018,,,,,,,,,,,,,,1,2010,2011-05-20,118.0,25.0,25.0,,,,detected by transit,,,HAT-P-23,306.125,16.7622222,11.94,,,,,393.0,0.15,1.13,1.203,G5,4.0,5905.0
HAT-P-24 b,0.685,0.033,0.033,1.242,0.067,0.067,3.35524,7e-06,7e-06,0.0465,0.0006,0.0006,0.067,0.024,0.024,0.000152,88.6,0.7,0.7,2455216.97667,0.00028,0.00028,,,,,,,,,,,,,,1,2010,2012-07-05,197.0,36.0,36.0,,,,detected by transit,,,HAT-P-24,108.825,14.2622222,11.82,,,,,306.0,-0.16,1.191,1.317,F8,2.8,6373.0
