# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, alternate_names, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
CoRoT-7 b,0.0233458137998301,0.00380706667086178,0.00380706667086178,0.148987686658376,0.00802927652649929,0.00802927652649929,0.853585,2.4e-05,2.4e-05,0.0172,0.00029,0.00029,0.0,,,0.000115,80.1,0.3,0.3,2454398.0767,0.0015,0.0015,,,,,,,,,,,,,,1,2009,2013-11-05,,,,,,,detected by transit,,,CoRoT-7,100.9541667,-1.0627778,11.7,,,,,150.0,0.03,0.93,0.87,K0V,1.5,5313.0
CoRoT-7 c,0.0264,0.0028,0.0028,,,,3.698,0.003,0.003,0.046,,,0.0,,,0.000307,,,,,,,,,,,,,,,,,,,,1,2009,2010-10-15,,,,2454445.0,0.7,0.7,detected by radial velocity,,,CoRoT-7,100.9541667,-1.0627778,11.7,,,,,150.0,0.03,0.93,0.87,K0V,1.5,5313.0
CoRoT-8 b,0.215838655885222,0.0339804297895101,0.0339804297895101,0.569186491545172,0.0196271203981094,0.0196271203981094,6.21229,3e-05,3e-05,0.063,0.001,0.001,0.0,,,0.000166,88.4,0.1,0.1,4238.9743,0.0004,0.0004,,,,,,,,,,,,,,1,2010,2013-11-05,,,,,,,detected by transit,,,CoRoT-8,291.5875,1.4266667,14.8,,,,,380.0,0.3,0.88,0.77,K1V,3.0,5080.0
CoRoT-9 b,0.84,0.07,0.07,0.94,0.04,0.04,95.273804,0.0014,0.0014,0.407,0.005,0.005,0.11,0.04,0.04,0.000885,89.9,nan,inf,2454603.3447,0.0001,0.0001,,,,,,,,,,,,,,1,2010,2013-06-05,37.0,37.0,37.0,,,,detected by transit,,,CoRoT-9,280.7875,6.2041667,13.7,,,,,460.0,-0.01,0.99,0.94,G3V,4.0,5625.0
DE0823-49 b,28.5,1.9,1.9,,,,246.36,1.38,1.38,0.36,0.01,0.01,0.345,0.068,0.068,,56.6,2.0,2.0,,,,,,,,,,,,,,,,,1,2013,2014-01-16,36.3,1.38,1.35,,,,detected by astrometry,,,DE0823-49,125.762500001,-48.799722218,,,,,,20.77,,0.07841,,,1.8,
DH Tau b,11.0,0.003,0.01,,,,,,,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,2005,2011-03-08,,,,,,,detected by imaging,,,DH Tau,67.425,26.5494444,13.71,,,,,,,0.37,,M0.5V,0.001,
DP Leo b,6.05,0.47,0.47,,,,10230.0,730.0,730.0,8.19,0.39,0.39,0.39,0.13,0.13,,,,,,,,,,,,,,,,,,,,,1,2009,2010-11-18,-78.0,20.0,20.0,,,,pulsar,,,DP Leo,169.3166667,17.9613889,17.5,,,,,,,0.69,,AM Her,,
FU Tau b,15.0,,,,,,,,,800.0,,,,,,5.714286,,,,,,,,,,,,,,,,,,,,1,2009,2011-09-19,,,,,,,detected by imaging,,,FU Tau,65.8958333,25.0508333,,,,9.95,,140.0,,0.05,,M7.25,0.001,2838.0
FW Tau b,10.0,4.0,4.0,,,,,,,330.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,1,2013,2013-12-02,,,,,,,detected by imaging,,,FW Tau,67.37500001,26.281388906,15.5,,,,,145.0,,0.26,,M4,0.0018,3270.0
Fomalhaut b,2.0,0.0,2.0,,,,320000.0,,,115.0,,,0.11,0.0,0.0,14.92731,,,,,,,,,,,,,,,,,,,,1,2008,2013-07-09,,,,,,,detected by imaging,,,Fomalhaut,344.4125,-29.6222222,1.16,,,,,7.704,,1.92,1.842,A3 V,0.44,8590.0
